provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_bayes_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,n_bands,baseline_hr,bands_used
2025 MR30,2026-03-20T14:30:07.642233+00:00,True,2.7453726863431718,0.19893436196458034,4.388044957498861,54,,False,True,3.1093697899299766,3.0936978992997664,3.9079259907488435,3.1093697899299766,5.643019492496063,0.0008117739599503571,0.7679078675623007,False,0.2568225250675616,True,False,True,3.0936978992997664,2.50413460005063,3.0904968322774256,3.096898966322107,0.0064021340446815955,3.4548548509558907,,,followup_needed,3,288.91583333333256,"Lg,Li,Lr"
2025 MA12,2026-03-20T14:30:11.243358+00:00,True,4.708604302151076,0.15249915281886492,8.313303012641505,53,,False,False,0.7977659219739913,5.287762587529176,1.7779722465308163,1.7779722465308163,3.8993247761425645,0.00803951867567676,0.690004150049245,False,1.9740411290697575,False,,,,,,,,,,,,3,216.73750000004657,"Lg,Li,Lr"
2025 MA76,2026-03-20T14:30:03.161075+00:00,False,,0.0,2.9816087675432206,54,SNR=2.98 < threshold=3.0,,,,,,,,,,,,False,,,,,,,,,,,,3,51.056111111305654,"Lg,Li,Lr"
2008 EL113,2026-03-20T14:30:08.129073+00:00,True,15.57103551775888,0.9026772124396452,23.376418525299183,54,,False,True,6.847115705235078,6.847115705235078,0.685085635704463,6.847115705235078,139.7992321991672,1.1102230246251565e-16,0.17532313893974386,False,0.8999453689410317,True,False,True,6.847115705235078,0.8120212350958584,6.833375673719558,6.860855736750598,0.027480063031040558,1.366293293812835,,,followup_needed,2,265.18638888874557,"Lg,Lr"
2025 KD30,2026-03-20T14:30:12.593575+00:00,True,1.205352676338169,0.2844033141333978,5.874208934090609,54,,False,True,0.5940313437812604,0.5940313437812604,2.0188773596699585,0.5940313437812604,8.54234569341414,2.598207135706687e-05,0.7803886568939375,False,2.3986040985927657,True,False,True,0.5940313437812604,1.6475119590617722,0.5899800848655355,0.5980826026969853,0.008102517831449774,2.2906152654947673,,,followup_needed,4,141.18611111096106,"Lg,Li,Lr,Lz"
2025 KB31,2026-03-20T14:30:15.677658+00:00,True,0.817408704352176,0.12684395832468653,5.935105812726841,54,,False,False,0.5861953984661554,0.5626875625208403,0.9818102262782848,0.5861953984661554,3.983492928003725,0.007080794129133872,0.3510615088227926,False,0.6748855907887099,False,,,,,,,,,,,,4,165.588333333435,"Lg,Li,Lr,Lz"
2025 MR73,2026-03-20T14:30:14.350327+00:00,True,1.8284142071035518,0.31227161747191295,4.867139627886096,54,,True,False,2.4119706568856287,2.4119706568856287,1.1580822602825354,2.4119706568856287,15.616980893700873,2.6475026726480166e-08,0.8030780386012059,True,0.04136413258637732,False,,,,,,,,,2.4119706568856287,0.09976907404586874,confirmed,3,51.12694444443332,"Lg,Li,Lr"
2015 KQ71,2026-03-20T14:30:19.370596+00:00,True,14.63056528264132,0.4394375800327255,8.213793849566311,46,,False,True,7.309436478826275,3.650050016672224,1.0141267658457307,3.650050016672224,15.453670808897439,8.701799136812127e-08,0.5872862602439912,False,1.0025578952173748,True,False,True,3.650050016672224,0.8167281779787692,3.642725501588601,3.657374531755847,0.014649030167245947,4.461371823222686,,,followup_needed,3,263.2958333333954,"Lg,Li,Lr"
2025 MK81,2026-03-20T14:30:25.333507+00:00,True,6.389694847423712,0.3975420859342021,6.317940434462348,51,,False,True,6.392630876958986,3.1172057352450815,1.6163895486935866,3.1172057352450815,9.475599495514947,1.1301795970641848e-05,0.8655578395213417,False,1.0507568059043535,True,False,True,3.1172057352450815,6.388354869683428,3.1109504729001083,3.1234609975900547,0.012510524689946845,3.505436684167512,,,followup_needed,3,288.3380555554759,"Lg,Li,Lr"
2025 MG214,2026-03-20T14:30:27.956207+00:00,True,2.9099549774887445,0.1789138124628917,6.053498188105997,53,,False,False,0.5548516172057353,12.089363121040346,0.7996624578072259,0.7996624578072259,3.1353330119290503,0.02273205503716813,0.6658848006916597,False,14.118082639738732,False,,,,,,,,,,,,2,265.1005555554293,"Lg,Lr"
