provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_adopted_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,r_code,r_flag,alias_risk,alias_note,lcdb_agreement,lcdb_delta_pct,reliability_notes,period_exceeds_grid,n_cycles,regime,n_nights,n_seasons,obs_per_night_median,night_duration_hr,reliability_ceiling,recommended_methods,lcdb_period_hr,lcdb_u_code,n_bands,baseline_hr,bands_used
2025 MJ21,2026-03-20T18:13:41.183879+00:00,True,1.6901400700350173,0.6159265509398235,11.14715662048034,256,,True,False,1.6898599533177725,3.385718572857619,1.6898599533177725,3.385718572857619,104.75108444108189,1.1102230246251565e-16,0.590799300885458,True,0.0017749004023365055,False,,,,,,,,,3.385718572857619,0.006009313257163167,confirmed,3,3,False,,no_prior,,"All 3 methods agree (spread=0.2%), p=1.11e-16, dense regime. High confidence.",False,28.9,dense,4,1,75.5,2.779305555653991,high,"gls,mbls,mhaov,ce,clean",,0,3,97.90861111111008,"Lg,Li,Lr"
2025 MJ23,2026-03-20T18:13:44.334823+00:00,True,2.8182341170585286,0.6814589403275411,12.99181141874526,121,,False,True,3.2017339113037675,5.651530510170056,3.2017339113037675,3.2017339113037675,78.21859937116858,1.1102230246251565e-16,1.0913121591746018,False,0.7651468444071761,True,False,True,5.651530510170056,3.1738927468576477,5.64018964627005,5.662871374070061,0.022681727800011764,4.438453532429717,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,3,1,43.0,2.726666666683741,high,"gls,mbls,mhaov,ce,clean",,0,3,51.032222222245764,"Lg,Li,Lr"
2025 MJ30,2026-03-20T18:13:50.543475+00:00,True,2.5062081040520257,0.666825395847674,11.390100976537338,270,,False,True,2.5057919306435474,5.601533844614871,2.5057919306435474,2.5057919306435474,139.25677250756615,1.1102230246251565e-16,1.0364991888648978,False,1.235434545108072,True,False,True,5.601533844614871,2.5074680456473226,5.590293308471833,5.61277438075791,0.022481072286076653,1.0493522161619293,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,27.0,2.6908333333558403,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8763888889225,"Lg,Li,Lr"
2025 MJ71,2026-03-20T18:13:57.130043+00:00,True,18.815567783891947,0.0896487844823343,8.064744291014211,243,,False,True,7.081410470156718,18.128489496498833,7.081410470156718,7.081410470156718,6.9272907326574815,2.7271064993561467e-05,1.185517410779089,False,1.5600111126019889,True,False,True,18.128489496498833,21.7541873957986,18.092111256706534,18.164867736291132,0.07275647958459786,8.3129777069059,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,5,1,49.0,2.7247222223086283,high,"gls,mbls,mhaov,ce,clean",,0,3,144.5163888889365,"Lg,Li,Lr"
2025 MJ79,2026-03-20T18:13:58.163121+00:00,True,0.5140420210105052,0.22227478451720858,3.1631178516963687,56,,True,False,0.49795931977325775,0.9959186395465155,0.49795931977325775,0.9959186395465155,5.735046425187254,0.0006863325607719961,0.5978292739706137,True,0.0,False,,,,,,,,,0.9959186395465155,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=6.86e-04, sparse regime. Moderate confidence.",False,144.8,sparse,4,1,8.0,1.9804166666872334,medium,"mbls,mhaov,clean",,0,2,144.23277777788462,"Lg,Li,Lr"
2025 MK23,2026-03-20T18:13:59.400359+00:00,True,3.0942571285642817,0.39644826500067576,17.11257632653365,106,,True,False,6.177485828609536,6.177485828609536,6.177485828609536,6.177485828609536,25.01848646643776,2.0650148258027912e-14,1.360449817959425,True,0.0,False,,,,,,,,,6.177485828609536,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=2.07e-14, sparse regime. Moderate confidence.",False,46.8,sparse,7,1,14.0,2.1480555554735474,medium,"mbls,mhaov,clean",,0,3,289.04055555554805,"Lg,Li,Lr"
2025 MK41,2026-03-20T18:14:00.096102+00:00,False,2.1101750875437713,0.039855241466727864,12.475998462943089,403,GLS power=0.040 too low — no periodic signal,,,,,,,,,,,,False,,,,,,,,,,,t1_rejected,0,0,False,,no_prior,,Tier 1 failed: GLS power=0.040 too low — no periodic signal,False,,dense,7,1,30.0,2.140277777798474,high,"gls,mbls,mhaov,ce,clean",,0,3,289.0866666667862,"Lg,Li,Lr"
2025 MK68,2026-03-20T18:14:02.995187+00:00,True,2.8302351175587788,0.4654820710913732,18.189111505554997,135,,False,True,2.5297899299766584,5.553537845948649,2.5297899299766584,2.5297899299766584,72.49472066138198,1.1102230246251565e-16,0.9822120212999699,False,1.1952565231369605,True,False,True,5.553537845948649,2.5314820971539005,5.542393622846412,5.564682069050886,0.0222884462044739,8.192068970632258,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,3,1,43.0,2.903333333437331,high,"gls,mbls,mhaov,ce,clean",,0,3,51.032222222245764,"Lg,Li,Lr"
2025 MK83,2026-03-20T18:14:04.587035+00:00,True,3.0462531265632813,0.32798691850042216,12.017377671510188,328,,True,False,6.097492497499166,6.083494498166055,6.097492497499166,6.097492497499166,39.140985691716196,1.1102230246251565e-16,1.1416508787934678,True,0.0022956976722562678,False,,,,,,,,,6.097492497499166,0.013997999333108892,confirmed,3,3,False,,no_prior,,"All 3 methods agree (spread=0.2%), p=1.11e-16, dense regime. High confidence.",False,47.4,dense,7,1,34.0,2.691111111198552,high,"gls,mbls,mhaov,ce,clean",,0,3,289.14722222217824,"Lg,Li,Lr"
2025 MK88,2026-03-20T18:14:10.430314+00:00,True,1.1980990495247623,0.3371028131820921,8.570233589596127,218,,False,True,1.329889963321107,2.5217905968656216,1.329889963321107,1.329889963321107,24.48773014877138,1.1102230246251565e-16,1.1269857170318907,False,0.8962400397150974,True,False,True,2.5217905968656216,1.2613939585212908,2.516730147507363,2.52685104622388,0.01012089871651689,14.274716918773468,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,29.0,2.691111111198552,high,"gls,mbls,mhaov,ce,clean",,0,3,288.81805555557366,"Lg,Li,Lr"
